wid	uid	type	message	variables	severity	link	location	referer	hostname	timestamp
132	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:185:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://keycloak.home.clcreative.de:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=50826f37-d628-49de-a472-5c7d71ff71a8.225d51e7-3b52-4544-8cc4-5d9da28e25a1.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2Fkeycloak.home.clcreative.de%3A8080%2Frealms%2Fmaster&session_state=225d51e7-3b52-4544-8cc4-5d9da28e25a1&state=hvc-HkRXD7G7eKUqXyo3_siniRmOWnhkZjC-SYPq8hI		192.168.59.1	1757396383
131	0	user	Login attempt failed for %user.	a:1:{s:5:"%user";s:13:"akshay2642005";}	5		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757396375
130	0	user	Flood control blocked login attempt for uid %uid from %ip	a:2:{s:4:"%uid";s:1:"1";s:3:"%ip";s:12:"192.168.59.1";}	5		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757396375
129	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:185:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://keycloak.home.clcreative.de:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=68567d26-787a-437d-9d4e-c33f60a4ee58.225d51e7-3b52-4544-8cc4-5d9da28e25a1.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2Fkeycloak.home.clcreative.de%3A8080%2Frealms%2Fmaster&session_state=225d51e7-3b52-4544-8cc4-5d9da28e25a1&state=11RILEDuoC_TaT3FGjQUW2YIyGFl7iemRPdTAWrcc7U		192.168.59.1	1757395987
128	0	user	Login attempt failed for %user.	a:1:{s:5:"%user";s:13:"akshay2642005";}	5		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757395973
127	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:185:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://keycloak.home.clcreative.de:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=64e168fa-30c7-4604-848a-7bf6fbe9326c.225d51e7-3b52-4544-8cc4-5d9da28e25a1.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2Fkeycloak.home.clcreative.de%3A8080%2Frealms%2Fmaster&session_state=225d51e7-3b52-4544-8cc4-5d9da28e25a1&state=PDAhHzjGMuq3GuusiehLm1kYrndZaYxknR2PVNE1SHU		192.168.59.1	1757395965
126	1	user	Session closed for %name.	a:1:{s:5:"%name";s:13:"akshay2642005";}	6		http://drupal.home.clcreative.de/user/logout?token=nvG5vIO3JPX5GHOGG3dUduXuHDHhNf06cg3szH5rWFM	http://drupal.home.clcreative.de/admin/config/people/openid-connect	192.168.59.1	1757395961
125	1	openid_connect	OpenID Connect client %label has been updated.	a:1:{s:6:"%label";s:8:"keycloak";}	5		http://drupal.home.clcreative.de/admin/config/people/openid-connect/keycloak/edit?destination=%2Fadmin%2Fconfig%2Fpeople%2Fopenid-connect	http://drupal.home.clcreative.de/admin/config/people/openid-connect/keycloak/edit?destination=/admin/config/people/openid-connect	192.168.59.1	1757395957
124	1	system	Failed to retrieve security advisory data.	a:6:{s:5:"%type";s:37:"GuzzleHttp\\Exception\\ConnectException";s:8:"@message";s:137:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for https://updates.drupal.org/psa.json";s:9:"%function";s:49:"GuzzleHttp\\Handler\\CurlFactory::createRejection()";s:5:"%file";s:68:"/var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php";s:5:"%line";i:275;s:17:"@backtrace_string";s:5972:"#0 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php(205): GuzzleHttp\\Handler\\CurlFactory::createRejection()\n#1 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php(157): GuzzleHttp\\Handler\\CurlFactory::finishError()\n#2 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlHandler.php(47): GuzzleHttp\\Handler\\CurlFactory::finish()\n#3 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/Proxy.php(28): GuzzleHttp\\Handler\\CurlHandler->__invoke()\n#4 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/Proxy.php(48): GuzzleHttp\\Handler\\Proxy::{closure:GuzzleHttp\\Handler\\Proxy::wrapSync():27}()\n#5 /var/www/drupal/vendor/guzzlehttp/guzzle/src/PrepareBodyMiddleware.php(35): GuzzleHttp\\Handler\\Proxy::{closure:GuzzleHttp\\Handler\\Proxy::wrapStreaming():47}()\n#6 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Middleware.php(31): GuzzleHttp\\PrepareBodyMiddleware->__invoke()\n#7 /var/www/drupal/vendor/guzzlehttp/guzzle/src/RedirectMiddleware.php(71): GuzzleHttp\\Middleware::{closure:{closure:GuzzleHttp\\Middleware::cookies():28}:29}()\n#8 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Middleware.php(66): GuzzleHttp\\RedirectMiddleware->__invoke()\n#9 /var/www/drupal/vendor/guzzlehttp/guzzle/src/HandlerStack.php(75): GuzzleHttp\\Middleware::{closure:{closure:GuzzleHttp\\Middleware::httpErrors():60}:61}()\n#10 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(333): GuzzleHttp\\HandlerStack->__invoke()\n#11 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(169): GuzzleHttp\\Client->transfer()\n#12 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(189): GuzzleHttp\\Client->requestAsync()\n#13 /var/www/drupal/vendor/guzzlehttp/guzzle/src/ClientTrait.php(44): GuzzleHttp\\Client->request()\n#14 /var/www/drupal/web/core/modules/system/src/SecurityAdvisories/SecurityAdvisoriesFetcher.php(318): GuzzleHttp\\Client->get()\n#15 /var/www/drupal/web/core/modules/system/src/SecurityAdvisories/SecurityAdvisoriesFetcher.php(131): Drupal\\system\\SecurityAdvisories\\SecurityAdvisoriesFetcher->doRequest()\n#16 /var/www/drupal/web/core/modules/system/system.install(1706): Drupal\\system\\SecurityAdvisories\\SecurityAdvisoriesFetcher->getSecurityAdvisories()\n#17 /var/www/drupal/web/core/modules/system/system.install(207): _system_advisories_requirements()\n#18 [internal function]: system_requirements()\n#19 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(404): call_user_func_array()\n#20 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(357): Drupal\\Core\\Extension\\ModuleHandler->{closure:Drupal\\Core\\Extension\\ModuleHandler::invokeAll():403}()\n#21 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(403): Drupal\\Core\\Extension\\ModuleHandler->invokeAllWith()\n#22 /var/www/drupal/web/core/modules/system/src/SystemManager.php(128): Drupal\\Core\\Extension\\ModuleHandler->invokeAll()\n#23 /var/www/drupal/web/core/modules/system/src/SystemManager.php(112): Drupal\\system\\SystemManager->listRequirements()\n#24 /var/www/drupal/web/core/modules/system/src/Controller/SystemController.php(122): Drupal\\system\\SystemManager->checkRequirements()\n#25 [internal function]: Drupal\\system\\Controller\\SystemController->overview()\n#26 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(123): call_user_func_array()\n#27 /var/www/drupal/web/core/lib/Drupal/Core/Render/Renderer.php(627): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::wrapControllerExecutionInRenderContext():121}()\n#28 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(121): Drupal\\Core\\Render\\Renderer->executeInRenderContext()\n#29 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(97): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->wrapControllerExecutionInRenderContext()\n#30 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(183): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::onController():96}()\n#31 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(76): Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw()\n#32 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/Session.php(53): Symfony\\Component\\HttpKernel\\HttpKernel->handle()\n#33 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/KernelPreHandle.php(48): Drupal\\Core\\StackMiddleware\\Session->handle()\n#34 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ContentLength.php(28): Drupal\\Core\\StackMiddleware\\KernelPreHandle->handle()\n#35 /var/www/drupal/web/core/modules/big_pipe/src/StackMiddleware/ContentLength.php(32): Drupal\\Core\\StackMiddleware\\ContentLength->handle()\n#36 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(116): Drupal\\big_pipe\\StackMiddleware\\ContentLength->handle()\n#37 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(90): Drupal\\page_cache\\StackMiddleware\\PageCache->pass()\n#38 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ReverseProxyMiddleware.php(48): Drupal\\page_cache\\StackMiddleware\\PageCache->handle()\n#39 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/NegotiationMiddleware.php(51): Drupal\\Core\\StackMiddleware\\ReverseProxyMiddleware->handle()\n#40 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/AjaxPageState.php(53): Drupal\\Core\\StackMiddleware\\NegotiationMiddleware->handle()\n#41 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/StackedHttpKernel.php(51): Drupal\\Core\\StackMiddleware\\AjaxPageState->handle()\n#42 /var/www/drupal/web/core/lib/Drupal/Core/DrupalKernel.php(715): Drupal\\Core\\StackMiddleware\\StackedHttpKernel->handle()\n#43 /var/www/drupal/web/index.php(19): Drupal\\Core\\DrupalKernel->handle()\n#44 {main}";}	3		http://drupal.home.clcreative.de/admin/config	http://drupal.home.clcreative.de/user/1?check_logged_in=1	192.168.59.1	1757395858
123	1	user	Session opened for %name.	a:1:{s:5:"%name";s:13:"akshay2642005";}	6		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757395852
